MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,MiscVal,SaleType,SaleCondition
0.75,0.75,0.3214294947692788,0.3586150258341345,0.3333333333333333,1.0,0.0,0.8636363636363636,0.4,0.75,0.6000000000000001,0.7777777777777777,0.014705882352941176,0.04918032786885246,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.1467572574288384,0.8254288562033738,0.34704801784727146,1.0,1.0,1.0,1.0,0.5853262858994339,0.0,0.5210026977586582,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666667,0.41666666666666674,1.0,0.0,0.75,0.01869158878504673,1.0,0.75,0.5034322897846577,0.5,0.5,1.0,0.738563316813426,0.45777698268248884,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.75,0.75,0.31682413378215696,0.3805980711479655,0.3333333333333333,0.3333333333333333,0.0,0.36363636363636365,0.4,0.75,0.6000000000000001,0.4444444444444445,0.3602941176470588,0.04918032786885246,0.0,0.0,0.6000000000000001,0.5,0.6666666666666666,0.7392925352255059,0.6666666666666667,0.5,0.3333333333333334,0.6666666666666667,0.0,0.7999999999999998,0.5830731144980597,0.3434172319644696,0.2714189411459423,1.0,1.0,1.0,1.0,0.46021937574305194,0.0,0.40399314570854594,0.3333333333333333,0.3333333333333333,0.5,0.375,0.3333333333333333,0.6666666666666667,0.25,1.0,0.0,0.75,0.4579439252336449,0.5,0.25,0.2914347222622914,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.9166666666666666,0.75,0.26357828016854606,0.3293231158026475,0.0,0.3333333333333333,0.0,0.9545454545454546,0.4,1.0,0.6000000000000001,0.8888888888888888,0.03676470588235294,0.09836065573770493,1.0,0.0,0.4,0.30000000000000004,0.6666666666666666,0.918887274645207,1.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.49233130712045303,0.7814954197155863,0.39613578526928056,1.0,1.0,1.0,1.0,0.6513646045042926,0.0,0.5841247322449936,0.3333333333333333,0.6666666666666666,0.0,0.25,0.3333333333333333,1.0,0.3333333333333334,1.0,0.3333333333333333,0.75,0.04672897196261683,0.5,0.5,0.4804572537403627,0.5,0.5,1.0,0.8249682930677189,0.6929692193385532,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.75,0.75,0.3077383407727195,0.47395234353617655,0.6666666666666666,0.6666666666666666,0.0,0.4545454545454546,0.4,0.75,0.6000000000000001,0.6666666666666665,0.0661764705882353,0.16393442622950818,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6889828076517813,0.12942064098763584,0.3498563208292722,1.0,1.0,1.0,1.0,0.5923810671283023,0.0,0.5277002983756507,0.3333333333333333,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666667,0.25,1.0,0.3333333333333333,0.75,0.08411214953271029,0.5,0.5,0.43788615484267124,0.5,0.5,1.0,0.9126378903039272,0.5074731907406773,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.75,0.75,0.43435481492301203,0.38380300077748286,0.3333333333333333,0.3333333333333333,0.0,0.36363636363636365,0.4,0.75,0.6000000000000001,0.5555555555555556,0.3235294117647059,0.7377049180327869,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6666666666666666,0.8885523033808218,0.3333333333333334,0.5,0.3333333333333334,0.6666666666666667,0.0,0.6,0.5031425823014668,0.6662044429513757,0.33981501868759384,1.0,0.75,1.0,1.0,0.5747293136845653,0.0,0.5109625294537117,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.3333333333333334,0.41666666666666674,1.0,0.3333333333333333,0.75,0.41121495327102814,0.5,0.5,0.4804572537403627,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.9166666666666666,0.75,0.28352338779411373,0.35523432781984243,0.0,0.3333333333333333,0.25,0.9545454545454546,0.4,1.0,0.6000000000000001,0.8888888888888888,0.0,0.01639344262295082,1.0,0.0,0.4,0.30000000000000004,0.6666666666666666,0.9591283069193967,1.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.7017162962504674,0.2768368737323266,0.3877141694530914,1.0,1.0,1.0,1.0,0.6406992453573622,0.0,0.5738651221234266,0.3333333333333333,0.3333333333333333,0.5,0.125,0.3333333333333333,1.0,0.41666666666666674,1.0,0.3333333333333333,0.75,0.0,1.0,0.75,0.7844540124578109,0.5,0.5,1.0,0.0,0.6723293845092958,0.0,1.0,0.0,0.0,1.0,1.0
0.75,0.75,0.5140558867564011,0.41440405429460503,0.3333333333333333,0.3333333333333333,0.25,0.6363636363636364,0.4,0.75,0.6000000000000001,0.8888888888888888,0.014705882352941176,0.04918032786885246,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666667,1.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.9168762543361559,0.40416187153221345,1.0,1.0,1.0,1.0,0.6612987073253712,0.0,0.5937037683424733,0.0,0.6666666666666666,0.0,0.25,0.3333333333333333,1.0,0.41666666666666674,1.0,0.0,0.75,0.01869158878504673,1.0,0.5,0.5644377386873684,0.5,0.5,1.0,0.8725219225422464,0.7738334346651712,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.25,0.75,0.293236400806874,0.35540910959009264,0.0,0.3333333333333333,0.0,0.2272727272727273,0.2,0.5,0.2,0.4444444444444445,0.7941176470588235,0.09836065573770493,0.0,0.0,0.4,0.30000000000000004,0.3333333333333333,0.0,0.3333333333333334,0.5,0.3333333333333334,0.6666666666666667,0.0,0.7999999999999998,0.635192609143835,0.29882860574917086,0.31232674339636585,1.0,0.75,1.0,1.0,0.5320582599208972,0.9420257404188642,0.6648711162726411,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3333333333333334,0.5833333333333335,1.0,0.0,0.75,0.27564332816005194,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6678673237257559,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
0.5833333333333333,0.25,0.3077383407727195,0.25222050015789965,0.0,0.3333333333333333,0.0,0.18181818181818182,0.4,0.75,1.0,0.7777777777777777,0.6102941176470588,0.21311475409836064,1.0,0.0,0.5,0.4,0.3333333333333333,0.0,0.3333333333333334,1.0,0.3333333333333334,0.6666666666666667,0.0,0.0,0.0,0.5301443630991516,0.1759367041238512,1.0,0.25,1.0,1.0,0.3696127183263072,0.9326378648075121,0.5662909897154558,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.6666666666666667,0.41666666666666674,1.0,0.3333333333333333,0.25,0.7757009345794394,0.0,0.25,0.22555330000275178,0.5,0.5,1.0,0.8223821834295504,0.6512078466054054,0.0,0.0,0.0,0.0,0.6666666666666666,0.75
1.0,0.75,0.3527119393962403,0.4798474463564899,0.3333333333333333,0.3333333333333333,0.0,0.5454545454545454,0.8,0.75,1.0,0.6666666666666665,0.20588235294117646,0.4754098360655738,0.0,0.0,0.7000000000000001,0.7000000000000001,0.6666666666666666,0.857246168238705,0.3333333333333334,0.5,0.6666666666666667,0.6666666666666667,0.0,0.6,0.5796729498255804,0.24998733272361467,0.33395394290133434,1.0,0.5,1.0,1.0,0.5659582200622177,0.9761501815243541,0.7484753451655233,0.3333333333333333,1.0,0.5,0.625,0.3333333333333333,0.6666666666666667,0.8333333333333336,1.0,0.6666666666666666,0.75,0.26168224299065423,0.5,0.5,0.47228796951944163,0.5,0.5,1.0,0.0,0.7427006966765236,0.0,1.0,0.7032520325203252,1.0,0.6666666666666666,0.75
